58db9d4ccd4d745b2e00002b	Breaking News: With a hand-delivered letter Britain has officially initiated Brexit. The long divorce is likely to be littered with pitfalls.2017-03-29T07:40:36-04:00		NYTimes.com	95206	['consequential' 'world war' 'sides' 'two-year divorce' 'ii prime' 'long divorce' 'diplomatic events' 'union' 'one' 'pitfalls' 'letter' 'theresa may' 'brexit' 'tortuous' 'formal notice' 'country’s intention' 'britain' 'minister']	In one of the most consequential diplomatic events in Britain since World WarII Prime Minister Theresa May on Wednesday sent formal notice of thecountry’s intention to withdraw from the European Union starting atortuous two-year divorce littered with pitfalls for both sides.
58dd1a62cd4d745b2e000055	Breaking News: President Trump called a conservative faction in the House a threat to the Republican agenda and vowed to fight them in 20182017-03-30T10:46:51-04:00		NYTimes.com	95274	['fast' 'twitter' '2018' 'conservatives' 'mr. trump' 'care' 'the freedom' 'house' 'fight' 'war' 'house freedom' 'act repeal' 'don’t' 'midterm elections' 'caucus' 'trump' 'fight them' 'hurt' 'threat' 'conservative faction' 'agenda']	President Trump called a conservative faction in the House a threat to the Republican agenda and vowed to “fight them” in 2018 President Trump on Thursday declared war on the conservatives of the HouseFreedom Caucus suggesting Republicans should “fight them” in the2018 midterm elections if they do not back his agenda.
5882444ecd4d744297000029	Breaking News: Donald John Trump has placed his hand on two Bibles and taken the oath of office. He is now the 45th president of the United States.	2017-01-20T12:09:12-05:00	https://www.nytimes.com/interactive/2017/01/20/us/politics/inauguration-day-live.html	NYTimes.com	90607	['breaking news donald john trump' 'sworn' 'john g. roberts jr.' 'hand' 'oath' 'mr. trump' 'bibles' 'states' '45th president' 'donald john trump' '35-word oath' 'chief justice']	Mr. Trump was sworn in with a 35-word oath that was administered by ChiefJustice John G. Roberts Jr.
58828629cd4d74429700003e	Breaking News: Protesters in Washington smashed windows and lit fires and clashed with police trying to disperse them. At least 95 were arrested.	2017-01-20T16:50:16-05:00		NYTimes.com	90613	['windows' 'disperse them' '95' 'trump' 'breaking news protesters' 'protesters' 'confrontation' 'parade route' 'lit fires' 'blocks' 'arrested']	Protesters in Washington smashed windows and lit fires and clashed with police trying to disperse them.
5883f550cd4d74345b00000b	Breaking News: Amid mass protests nationwide President Trump and his spokesman accused the media of understating the turnout for his inauguration	2017-01-21T18:56:50-05:00		NYTimes.com	90655	['full day' 'inauguration' 'inauguration president' 'pair' 'mass protests nationwide president' 'deliberate efforts' 'white house' 'staff' 'spokesman' 'turnout' 'breaking news amid' 'saturday mr. trump' 'depictions' 'angry public appearances' 'amid' 'mall' 'number' 'bitter war' 'crowd' 'media' 'sean spicer' 'white house press secretary' 'news media' 'understate' 'trump']	Amid mass protests nationwide President Trump and his spokesman accused the media of understating the turnout for his inauguration President Trump and his staff spent their first full day in the White Housewaging a bitter war against the news media over depictions of the crowd at theinauguration on Friday.
588639dccd4d74778700000f	Breaking News: President Trump has declared that the U.S. won't join the Trans-Pacific Partnership a sweeping trade pact negotiated by Barack Obama	2017-01-23T12:13:59-05:00		NYTimes.com	90794	['trump' 'start' 'won’t' 'trans-pacific partnership' 'u.s.' 'american signature' 'administration' 'foreign competitors' 'barack obama' 'decision' 'signal' 'trump’s' 'aggressive stance']	President Trump has declared that the U.S. won’t join the Trans-Pacific Partnership a sweeping trade pact negotiated by Barack Obama Although the deal had not been approved by Congress the decision to withdrawthe American signature at the start of President Trump’s administration isa signal that he plans to follow through on promises to take a more aggressivestance against foreign competitors.
5886c1decd4d747787000026	Breaking News: Speaking to lawmakers President Trump again falsely claimed that illegal immigrants had cost him the popular vote	2017-01-23T21:53:51-05:00		NYTimes.com	90802	['majority' 'illegal immigrants' 'cost' 'official meeting' 'popular vote' 'lawmakers' 'support' 'needs' 'lawmakers president' 'election results' 'institution' 'congressional leaders' 'loss' 'trump' 'ambitious legislative agenda' 'president’s comments' 'millions' 'bipartisan leadership' 'gripe' 'white house reception' 'popular vote president']	Speaking to lawmakers President Trump again falsely claimed that illegal immigrants had cost him the popular vote President Trump used his first official meeting with congressional leaders onMonday to gripe about his loss of the popular vote falsely telling thelawmakers that he would have won a majority if millions of illegal immigrantshad not voted against him.
58876094cd4d741ed8000013	Breaking News: President Trump plans to keep James B. Comey as director of the F.B.I. The agency is investigating Mr. Trump's associates.	2017-01-24T09:11:10-05:00		NYTimes.com	90883	\['f.b.i.' 'federal government’s' 'job' 'james b. comey' 'trump' 'matter' \mr. trump's\ 'agency' 'director' 'associates' 'top agents' 'top law enforcement agency' 'country']|director James B. Comey told his top agents from around thecountry that he had been asked by President Trump to stay on the job running thefederal government’s top law enforcement agency according to peoplefamiliar with the matter.
5887780acd4d741ed800001e	Breaking News: Emboldened by President Trump Israel approved 2500 new settlement homes in the West Bank in a defiant wave of construction	2017-01-24T10:51:06-05:00		NYTimes.com	90889	['obama' 'emboldened' 'settlements' 'israel' 'world leaders' 'defiant wave' 'government' 'bank' 'announcement' 'israeli' 'administration' 'trump israel' 'palestinian-claimed' 'feeling' 'territory' '2500' 'breaking news emboldened' 'construction' 'disregard' 'constraints' 'gathering' 'international condemnation' 'new settlement homes']	Emboldened by President Trump Israel approved 2500 new settlement homes in the West Bank in a defiant wave of construction Just over a week after a gathering of world leaders warned that Israel muststop expanding its settlements in Palestinian-claimed territory theannouncement made clear that the Israeli government is feeling emboldened toshake off the constraints imposed by the Obama administration and more willingto disregard international condemnation.
58878537cd4d741ed8000022	Breaking News: President Trump is reviving the Keystone XL pipeline which President Obama had blocked after opposition by environmental groups	2017-01-24T11:47:19-05:00		NYTimes.com	90890	['efforts' 'balance' 'trump' 'predecessor’s policies' 'nation’s energy' 'debate' 'pipeline' 'environmental groups president' 'dismantle' 'stem climate change' 'opposition' 'obama' 'environmental groups' 'keystone xl']	President Trump is reviving the Keystone XL pipeline which President Obama had blocked after opposition by environmental groups President Trump moved assertively on Tuesday to further dismantle hispredecessor’s policies as he revived the Keystone XL pipeline that stirredyears of debate over the balance between the nation’s energy needs andefforts to stem climate change.
58890408cd4d745609000010	Breaking News: Mary Tyler Moore is dead at 80. She starred in one of the most popular TV shows ever and helped define a new vision of womanhood.	2017-01-25T15:00:44-05:00		NYTimes.com	90945	['spunky' 'ms. moore' 'one' 'breaking news mary tyler moore' 'sitcom “the' 'popular tv shows' '80' 'new vision' 'mary tyler moore' 'womanhood' 'mary tyler moore show.”.' 'mary richards']	Ms. Moore was most indelibly known as the incomparably spunky Mary Richardson the CBS hit sitcom “The Mary Tyler Moore Show.”.
588a2e88cd4d74643500000f	Breaking News: Mexico's president canceled a visit with President Trump as tensions rose over his insistence that Mexico pay for a border wall	2017-01-26T12:14:42-05:00		NYTimes.com	90976	['move' 'mr. pena nieto' 'northern neighbor' 'months' 'threats' 'tensions' 'border wall' 'nations' 'public pressure' 'face' 'head' 'mexico' 'enrique pena nieto' 'mexico’s' 'mr. trump’s' 'trump' 'dialogue' 'insistence']	Mexico’s president canceled a visit with President Trump as tensions rose over his insistence that Mexico pay for a border wall The move by Enrique Peña Nieto brings to a head the simmering tensionsthat have been building for months between the two nations.
588a636fcd4d74643500001a	Breaking News: President Trump has proposed a 20 percent tax on all Mexican imports to pay for the border wall his spokesman said	2017-01-26T16:00:14-05:00		NYTimes.com	90987	['dollars' 'border wall' 'new barrier' 'mexican imports' 'percent tax' 'united states' 'imports' 'mexico' 'billions' 'spokesman' 'cost' '20' 'trump']	President Trump has proposed a 20 percent tax on all Mexican imports to pay for the border wall his spokesman said President Trump plans to make Mexico pay for his border wall by imposing a 20percent tax on all imports into the United States from Mexico raising billionsof dollars that would cover the cost of the new barrier.
588c9b92cd4d74365f000011	Breaking News: Refugees have been stopped and detained at U.S. airports under President Trump's immigration ban prompting legal action	2017-01-28T08:24:10-05:00		NYTimes.com	91083	\['iraqi' 'u.s.' 'refugees' 'executive order' 'legal action president' 'united states' 'clients released' 'kennedy' 'order' 'lawyers' 'immediate effect' 'airports' \trump's\ 'immigration ban' 'writ' 'night' 'nation’s' 'habeas corpus' 'air' 'ports' 'effort' 'class certification' 'entry' 'eastern district' 'legal action' 'york' 'motion' 'airport' 'trump’s' 'breaking news refugees' 'detentions' 'immigrants']|Refugees have been stopped and detained at U.S. airports under President Trump's immigration ban prompting legal action President Trump’s executive order closing the nation’s borders torefugees was put into immediate effect Friday night.
588d5644cd4d746bb5000007	Breaking News: A federal judge stayed part of President Trump's immigration order barring refugees stopped at U.S. airports from being sent back	2017-01-28T21:40:46-05:00		NYTimes.com	91110	\['york' 'presidency' 'executive order' 'white house order' 'united states' 'country' '200' '100' 'arrival' 'order' 'refugees' 'broader ruling' 'government' 'emergency hearing' 'american airports' 'lawyers' 'u.s.' 'immigration' 'wake' 'airports' 'actions' 'city courtroom' 'trump’s' 'decision' 'others' 'mr. trump' 'constitutionality' 'part' 'judge' 'immigration order' 'federal judge' 'mr. trump’s' \trump's\ 'home countries']|Lawyers who sued the government to block the White House ordersaid the decision which came after an emergency hearing in a New York Citycourtroom could affect an estimated 100 to 200 people who were detained uponarrival at American airports in the wake of the order that Mr. Trump signed onFriday afternoon a week into his presidency.
588def59cd4d746bb5000013	Breaking News: One U.S. commando was killed and four were hurt in President Trump's first counterterrorism offensive an attack in Yemen	2017-01-29T08:34:14-05:00		NYTimes.com	91138	\['nearby' 'yemen' 'four' 'trump' 'attack' 'commando injured' 'militants' 'one' 'others' 'commando' \trump's\ 'counterterrorism operation' 'senior american official' 'qaeda' 'operation' 'american commando' 'military aircraft' 'hurt' 'fierce firefight' 'trump’s' 'counterterrorism offensive' 'three' 'statement said' 'raid' 'u.s.']|One U.S. commando was killed and four were hurt in President Trump’s first counterterrorism offensive an attack in Yemen One American commando was killed and three others injured in a fiercefirefight overnight with Qaeda militants in central Yemen a senior Americanofficial said Sunday morning.
588e11b8cd4d746bb5000019	Breaking News: After protests the Trump administration seemed to scale back the president's immigration ban but confusion continued	2017-01-29T11:00:29-05:00		NYTimes.com	91142	['confusion' 'official' 'trump’s' 'trump' 'detain' 'immigration order' 'uncertainty' 'question' 'white house chief' 'immigration ban' 'green cards' 'discretionary authority' 'countries' 'protests' 'top white house' 'administration' 'statement' 'key part' 'reverse' 'reince priebus' 'certain countries' 'days ahead' 'executive order' 'suspicious travelers' 'scale' 'border agents' 'states' 'staff']	After protests the Trump administration seemed to scale back the president's immigration ban but confusion continued A top White House official appeared to reverse a key part of PresidentTrump’s immigration order on Sunday saying that people from the affectedcountries who hold green cards will not be prevented from returning to theUnited States.
588fd046cd4d744f1200000a	Breaking News: The acting attorney general an Obama holdover has ordered the Justice Department not to defend President Trump's immigration order	2017-01-30T18:45:46-05:00		NYTimes.com	91201	\['symbolic — president' 'holdover' 'jeffrey sessions' 'order' \trump's\ 'attorney general' 'mr. trump’s' 'immigration order' 'trump’s' 'nominee' 'government' 'decision' '—' 'justice department' 'highlights' 'obama']|The acting attorney general an Obama holdover has ordered the Justice Department not to defend President Trump's immigration order The decision is largely symbolic — President Trump’s nominee tobe attorney general Jeffrey Sessions is likely to be confirmed soon —but it highlights the deep divide at the Justice Department and elsewhere in thegovernment over Mr. Trump’s order.
588feb73cd4d744f12000016	Breaking News: Paving the way for transgender scouts the Boy Scouts of America will accept members based on the gender listed on their application	2017-01-30T20:41:58-05:00		NYTimes.com	91202	['transgender' 'breaking news paving' 'announcement reverses' 'paving' 'scouts' 'boy' 'transgender scouts' 'gender' 'controversy' 'members' 'america' 'application' 'policy' 'organization' 'jersey' 'joining']	Paving the way for transgender scouts the Boy Scouts of America will accept members based on the gender listed on their application The announcement reverses a policy that drew controversy late last year whena transgender New Jersey boy was kicked out of the organization about a monthafter joining.
588ff9a1cd4d744f12000020	Breaking News: President Trump has fired the acting attorney general after she told Justice Dept. lawyers not to defend his immigration ban	2017-01-30T21:42:13-05:00		NYTimes.com	91203	['lawyers' 'attorney general' 'mr. trump' 'white house' 'statement' 'trump' '10-day-old administration' 'administration' 'dept' 'action' 'betrayed' 'crisis' 'justice' 'immigration ban' 'sally q. yates']	lawyers not to defend his immigration ban Taking action in an escalating crisis for his 10-day-old administration Mr.Trump declared that Sally Q. Yates had “betrayed” theadministration the White House said in a statement.
5891365dcd4d7417ef000006	Breaking News: Neil Gorsuch is President Trump's Supreme Court pick. The federal judge resembles Antonin Scalia in both philosophy and style.	2017-01-31T20:13:39-05:00		NYTimes.com	91244	\['antonin scalia' 'trump’s' 'denver' 'supreme court seat' 'man' 'federal appeals court judge' 'judge' 'federal judge' 'supreme court pick' 'trump' 'style' 'jurist' 'succeed' 'death' 'neil m. gorsuch' 'originalist philosophy' 'breaking news neil gorsuch' 'philosophy' 'neil gorsuch' 'mold' 'justice' \trump's\]|President Trump on Tuesday nominated Judge Neil M. Gorsuch a federal appealscourt judge in Denver to fill the Supreme Court seat left open by the death ofJustice Antonin Scalia elevating a jurist whose conservative bent andoriginalist philosophy fit the mold of the man he would succeed.
58924039cd4d74393d000011	Breaking News: The Senate confirmed Rex Tillerson as secretary of state. The narrow vote was among the most contentious for that role in recent history.	2017-02-01T15:08:20-05:00		NYTimes.com	91341	['recent history' 'secretary' 'important international allies' 'senate' 'role' 'narrow vote' 'rex tillerson' 'exxon mobil' 'rex w. tillerson' 'serious strains' 'chief executive' 'chairman' 'contentious' 'nation’s 69th secretary']	Rex W. Tillerson the former chairman and chief executive of Exxon Mobil wasconfirmed by the Senate on Wednesday to become the nation’s 69th secretaryof state just as serious strains have emerged with important internationalallies.
5893c922cd4d7466ce00001a	Breaking News: President Trump unexpectedly shifted his stance on Israel warning Prime Minister Netanyahu to hold off on settlement construction	2017-02-02T19:04:19-05:00		NYTimes.com	91413	['settlement construction president' 'new settlement construction' 'government' 'statement' 'helpful' 'trump' 'goal' 'support' 'israel' 'expansion' 'foreign policy' 'white house' 'new settlements' 'warning' 'gears' 'don’t' 'stance' 'impediment' 'benjamin netanyahu' 'peace' 'cornerstone' 'existence' 'netanyahu' 'settlement construction' 'settlements' 'minister' 'construction' 'prime']	President Trump unexpectedly shifted his stance on Israel warning Prime Minister Netanyahu to hold off on settlement construction President Trump who has made support for Israel a cornerstone of his foreignpolicy shifted gears on Thursday and for the first time warned the governmentof Prime Minister Benjamin Netanyahu to hold off new settlementconstruction.
5893e9ffcd4d7466ce00001f	Breaking News: President Trump is embracing key aspects of Barack Obama's strategy refusing to lift sanctions on Russia and imposing new ones on Iran	2017-02-02T21:24:41-05:00		NYTimes.com	91420	\['settlements' 'russia' 'ballistic missile tests' 'trump' 'key pillars' 'sanctions' 'new ones' 'strategy' \barack obama's\ 'foreign policy' 'curb construction' 'administration’s strategy' 'iran' 'warning' 'barack obama' 'crimea' 'israel' 'key aspects']|President Trump is embracing key aspects of Barack Obama's strategy refusing to lift sanctions on Russia and imposing new ones on Iran President Trump after promising a radical break with the foreign policy ofBarack Obama is embracing key pillars of the former administration’sstrategy including warning Israel to curb construction of settlementsdemanding that Russia withdraw from Crimea and threatening Iran with sanctionsfor ballistic missile tests.
5894d2c7cd4d744b50000004	Breaking News: President Trump and Republican lawmakers have begun an assault on financial regulation. Democrats called it a gift to Wall Street.	2017-02-03T13:58:13-05:00		NYTimes.com	91469	['wall street' 'gift' 'tear' 'financial regulation' 'repeat' 'steps' 'lawmakers' 'campaign' 'trump' 'advice' '2008' 'wall street titans' 'array' 'financial crisis' 'turning' 'all-out assault' 'safeguards' 'assault']	President Trump mounted an all-out assault on financial regulation on Fridayannouncing an array of steps to tear down safeguards enacted to prevent a repeatof the 2008 financial crisis and turning to the Wall Street titans he haddemonized during his campaign for advice.
5894e188cd4d744b50000008	Breaking News: President Trump's order led the U.S. to revoke most visas from 7 countries -- officially about 60000 though a lawyer said more	2017-02-03T15:00:42-05:00		NYTimes.com	91471	\['60000.”.' 'lawyer' 'virginia' 'revoke' 'travelers' 'chaos' 'united states' 'hearing however' 'part' '60000' 'seven' 'countries —' '7' 'judge' 'fewer' \trump's\ 'federal court' 'trump’s' 'figure' 'number' 'visas' 'policy' 'plaintiff said' 'government' '100000' 'order' 'move' 'court' 'state department' 'u.s.' 'muslim' 'countries']|President Trump’s order led the U.S. to revoke most visas from 7 countries — officially about 60000 though a lawyer said more A lawyer for the United States government said in federal court in Virginiaon Friday that more than 100000 visas had been revoked as part of PresidentTrump’s policy halting travelers from seven predominantly Muslimcountries a move a judge said was causing “chaos” a lawyer for theplaintiff said.
58967b2acd4d744b50000034	Breaking News: The Trump administration moved to appeal a ruling blocking its immigration order just as the nation began opening its doors again	2017-02-04T20:08:40-05:00		NYTimes.com	91538	['nation' 'justice department' 'immigration order' 'nations' 'house’s' 'government' 'administration' 'ruling' 'federal judge' 'nation’s doors' 'overturned' 'criticism' 'seven' 'travelers' 'muslim' 'fusillade' 'trump' 'court ruling' 'doors' 'refugees']	The Trump administration moved to appeal a ruling blocking its immigration order just as the nation began opening its doors again A day after a federal judge temporarily blocked the White House’simmigration order the government on Saturday began opening the nation’sdoors again to refugees and travelers from seven predominantly Muslim nationseven as President Trump unleashed a fusillade of criticism against the courtruling and the Justice Department moved to have it overturned.
5897f013cd4d744155000019	Breaking News: The New England Patriots are champs again erasing a 25-point deficit to beat Atlanta 34-28 in the first Super Bowl to go to overtime	2017-02-05T22:39:39-05:00	https://www.nytimes.com/2017/02/05/sports/super-bowl-score-patriots-falcons.html	NYTimes.com	91559	['overtime' 'tom brady' 'champs again' 'bowl history' 'england patriots' 'quarterback' 'bowl' 'titles' '25-point deficit' 'atlanta' '34-28' 'one' 'five' 'patriots' 'comebacks']	The New England Patriots are champs again erasing a 25-point deficit to beat Atlanta 34-28 in the first Super Bowl to go to overtime Tom Brady became the first quarterback to win five titles when the Patriotscompleted one of the greatest comebacks in Super Bowl history.
58990ae7cd4d74415500002c	Breaking News: The Justice Department urged an appeals court to reinstate President Trump's travel ban saying national security depends on it	2017-02-06T18:46:23-05:00		NYTimes.com	91643	\['administration’s brief' 'important judicial test yet' 'travel ban' \trump's\ 'young presidency' 'challenge' 'national security' 'reinstate president' 'disruptive initiative' 'one' 'appeals court' 'trump’s' 'appellate ruling' 'justice department' 'yield']|The Justice Department urged an appeals court to reinstate President Trump's travel ban saying national security depends on it With the filing of the administration’s brief the challenge to thetravel ban the most ambitious and disruptive initiative of PresidentTrump’s young presidency is now ready for its most important judicialtest yet one that will yield the first appellate ruling.
589a07adcd4d744155000035	Breaking News: Betsy DeVos has been confirmed as education secretary -- barely. The vice president had to break a tie a first for a cabinet pick.	2017-02-07T12:45:11-05:00		NYTimes.com	91689	['vouchers' 'charter schools' 'betsy devos' '51-to-50 vote elevates' 'vice president' 'nation’s schools' 'tie' 'public school system —' 'cabinet pick' 'nominee —' 'wealthy philanthropist' 'life' 'education secretary' 'breaking news betsy devos' 'steward' 'education secretary — barely' 'educational choice' 'barely' 'experience']	The 51-to-50 vote elevates the embattled nominee — a wealthyphilanthropist who has devoted much of her life to expanding educational choicethrough charter schools and vouchers but has limited experience with the publicschool system — to be steward of the nation’s schools.
589a5377cd4d744155000046	Live: An appeals court is about to hear arguments on President Trump's immigration ban. Get live video and analysis from Times reporters.	2017-02-07T18:08:35-05:00	https://www.nytimes.com/interactive/2017/02/07/us/ninth-circuit-oral-arguments-trump-immigration.html	NYTimes.com	91698	\['analysis' 'san francisco' 'federal judge' 'young administration' 'hears arguments' 'travel ban' 'arguments' 'immigration ban' 'seattle' \trump's\ 'appeals court' 'reporters' 'trump’s' 'four' 'appeals' 'video' 'big legal test' 'trump' 'circuit court']|President Trump gets the first big legal test of his young administration asthe Ninth Circuit Court of Appeals based in San Francisco hears arguments overhis targeted travel ban four days after a federal judge in Seattle blockedit.
589a6d05cd4d74415500004a	Breaking News: An appellate panel expressed skepticism over Justice Dept. arguments in favor of President Trump's targeted travel ban	2017-02-07T19:57:37-05:00		NYTimes.com	91700	\['warning' \trump's\ 'order' 'seven' 'broad defense' 'executive order' 'nation’s airports' 'skepticism' 'nation’s refugee program' 'protests' 'impose immigration restrictions' '27' 'travel' 'entry' 'justice' 'appellate panel' 'countries' 'dept' 'three-judge' 'favor' 'travel ban' 'mr. trump’s' 'arguments' 'national security concerns' 'president’s power' 'department’s' 'federal appeals panel' 'muslim' 'trump’s']|arguments in favor of President Trump's targeted travel ban A three-judge federal appeals panel voiced skepticism Tuesday at the JusticeDepartment’s broad defense of President Trump’s targeted travel banduring arguments over the president’s power to impose immigrationrestrictions based on national security concerns.
